site_id,station_name,latitude,longitude,drainage_area,state,county,data_source
USGS-ILRIVERWATCH-R0805202,Riley Cr,39.49073,-88.22385,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805401,Whetstone Cr,39.46894,-88.08217,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805501,Polecat Cr,39.50561,-88.07247,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805502,Polecat Cr,39.51971,-88.02658,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805503,Polecat Cr,39.51987,-88.02673,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0805504,Polecat Cr,39.53267,-87.98143,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0806401,Brushy Fk Cr,39.78524,-87.99738,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0806402,Brushy Fk Cr,39.73711,-88.06962,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0806403,Brushy Fk Cr,39.80914,-87.88025,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0806404,Brushy Fk Cr,38.8007,-87.68463,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0806801,Scattering Fk,39.7854,-88.2716,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0807201,Jordan Slough,39.8747,-88.1515,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0815601,Meadow Brook,40.0808,-88.2047,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0815701,Catfish Cr,39.65807,-87.87238,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0816101,Muddy Cr Trib,39.36347,-88.29576,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0816201,Embarras R Trib,39.36059,-88.19462,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0816301,S Fk Indian Cr,39.418,-88.28145,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0816401,N Fk Indian Cr,39.41875,-88.20956,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0816601,Unnamed Cassel Cr Trib at Charleston,39.493593,-88.180556,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0816602,Unnamed Cassel Creek Trib south of Reginal Office of Education,39.493001,-88.174655,,,,embarrass-station.xlsx
USGS-ILRIVERWATCH-R0817701,Unnamed Embarras R Trib,39.033058,-88.126806,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-01,EMBARRAS RIVER,38.66493,-87.62639,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-02,EMBARRAS RIVER,38.83479,-87.75709,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-03,EMBARRAS RIVER,38.73283,-87.68631,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-04,EMBARRAS RIVER,38.99599,-88.14544,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-05,EMBARRAS RIVER,39.48915,-88.11321,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-06,EMBARRAS RIVER,39.51027,-88.11223,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-07,EMBARRAS RIVER,38.937,-88.02219,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-08,EMBARRAS RIVER,39.15618,-88.20768,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-09,EMBARRAS RIVER,39.34419,-88.17068,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-10,EMBARRAS RIVER,39.65905,-88.06316,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-11,EMBARRAS RIVER,39.86673,-88.16042,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-12,EMBARRAS RIVER,38.84597,-87.94994,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-13,EMBARRAS RIVER,39.10788,-88.20941,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-14,EMBARRAS RIVER,39.79973,-88.17041,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-15,EMBARRAS RIVER,39.25087,-88.1734,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-17,EMBARRAS RIVER,39.55499,-88.08938,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-19,EMBARRAS RIVER,39.75318,-88.17131,,,,embarrass-station.xlsx
USGS-IL_EPA-BE-20,EMBARRAS RIVER,39.90872,-88.19133,,,,embarrass-station.xlsx
